po_number,invoice_number,invoice_quantity,invoice_unit_price,invoice_date
PO1583,INV5607,405,25.07,24/03/2026
PO1584,INV5608,11,13.59,01/06/2026
PO1585,INV5609,196,79.68,17/05/2026
PO1586,INV5610,421,183.22,15/06/2026
PO1587,INV5611,137,86.17,10/04/2026
PO1588,INV5612,302,82.01,29/01/2026
PO1589,INV5613,421,105.58,19/03/2026
PO1590,INV5614,453,60.05,21/05/2026
PO1591,INV5615,243,6.55,12/06/2026
PO1592,INV5616,388,126.43,11/04/2026
PO1593,INV5617,405,156.3,27/05/2026
PO1594,INV5618,487,84.96,25/01/2026
PO1595,INV5619,496,70.33,24/01/2026
PO1596,INV5620,63,45.01,11/04/2026
PO1597,INV5621,82,143.77,31/01/2026
PO1598,INV5622,221,141.67,05/06/2026
PO1599,INV5623,307,23.64,15/02/2026
PO1599,INV5624,307,23.64,20/02/2026
PO1600,INV5625,41,89.82,12/06/2026
PO1601,INV5626,445,66.43,01/04/2026
PO1602,INV5627,149,50.55,07/05/2026
PO1603,INV5628,89,25.6,21/02/2026
PO1604,INV5629,71,109.51,01/05/2026
PO1604,INV5630,71,109.51,05/05/2026
PO1605,INV5631,247,56.68,31/03/2026
PO1606,INV5632,433,142.42,27/03/2026
PO1607,INV5633,85,22.79,15/04/2026
PO1608,INV5634,35,137.05,24/05/2026
PO1609,INV5635,447,93.18,01/05/2026
PO1610,INV5636,62,161.76,08/05/2026
PO1611,INV5637,435,157.29,01/02/2026
PO1612,INV5638,200,138.83,29/04/2026
PO1613,INV5639,142,183.9,12/06/2026
PO1614,INV5640,472,130.97,28/02/2026
PO1615,INV5641,31,188.74,14/02/2026
PO1616,INV5642,430,146.26,01/05/2026
PO1617,INV5643,98,74.02,09/05/2026
PO1618,INV5644,462,33.98,17/05/2026
PO1619,INV5645,265,85.34,14/04/2026
PO1620,INV5646,153,79.69,12/02/2026
PO1621,INV5647,137,128,29/05/2026
PO1622,INV5648,255,111.18,22/04/2026
PO1623,INV5649,174,80.73,19/05/2026
PO1624,INV5650,25,179.67,13/03/2026
PO1625,INV5651,281,81.12,15/05/2026
PO1626,INV5652,136,154.59,10/02/2026
PO1627,INV5653,443,196.62,14/06/2026
PO1628,INV5654,131,120.54,12/03/2026
PO1629,INV5655,370,141.61,25/01/2026
PO1630,INV5656,438,197.66,13/03/2026
PO1631,INV5657,29,22.6,28/05/2026
PO1632,INV5658,254,5.13,27/05/2026
PO1633,INV5659,377,39.6,10/04/2026
PO1634,INV5660,310,142.42,24/02/2026
PO1635,INV5661,47,86.98,24/04/2026
PO1636,INV5662,182,63.84,14/02/2026
PO1637,INV5663,415,129.66,13/05/2026
PO1638,INV5664,365,178.47,10/06/2026
PO1639,INV5665,427,39.19,20/06/2026
PO1640,INV5666,383,5.35,08/03/2026
PO1641,INV5667,103,122.47,23/01/2026
PO1642,INV5668,63,187.65,14/06/2026
PO1643,INV5669,131,72.63,09/02/2026
PO1644,INV5670,430,143.25,16/02/2026
PO1645,INV5671,145,51.37,20/01/2026
PO1646,INV5672,412,27.4,21/03/2026
PO1647,INV5673,385,86.83,12/05/2026
PO1648,INV5674,189,111.47,04/05/2026
PO1649,INV5675,93,93,21/03/2026
PO1650,INV5676,143,190.57,10/04/2026
PO1651,INV5677,92,147.74,15/04/2026
PO1652,INV5678,370,11.04,18/05/2026
PO1653,INV5679,90,15.44,09/05/2026
PO1654,INV5680,366,113.05,03/05/2026
PO1655,INV5681,162,51.32,08/04/2026
PO1656,INV5682,440,100.73,13/06/2026
PO1656,INV5683,440,100.73,15/06/2026
PO1657,INV5684,54,62.44,15/05/2026
PO1658,INV5685,23,45.36,14/02/2026
PO1659,INV5686,442,27.52,26/05/2026
PO1660,INV5687,56,130.16,24/03/2026
PO1661,INV5688,199,41.38,29/04/2026
PO1662,INV5689,144,49.12,12/05/2026
PO1663,INV5690,53,135.29,19/02/2026
PO1664,INV5691,293,16.89,28/03/2026
PO1665,INV5692,361,174.04,31/05/2026
PO1666,INV5693,50,81.99,25/03/2026
PO1667,INV5694,471,105.78,11/06/2026
PO1668,INV5695,98,190.07,07/05/2026
PO1669,INV5696,31,87.56,28/02/2026
PO1670,INV5697,437,121.03,24/02/2026
PO1671,INV5698,294,82.48,27/04/2026
PO1672,INV5699,479,175.33,24/05/2026
PO1673,INV5700,222,34.18,13/02/2026
PO1674,INV5701,409,24.69,12/06/2026
PO1675,INV5702,206,132.68,01/04/2026
PO1676,INV5703,151,83.58,06/03/2026
PO1677,INV5704,465,176.4,25/04/2026
PO1678,INV5705,481,57.37,10/05/2026
PO1679,INV5706,169,59.67,29/03/2026
PO1680,INV5707,163,194.97,28/02/2026
PO1681,INV5708,319,130.88,10/05/2026
PO1682,INV5709,389,99.47,02/05/2026
PO1683,INV5710,415,36,07/06/2026
PO1684,INV5711,409,171,15/02/2026
PO1685,INV5712,458,167.42,04/03/2026
PO1686,INV5713,35,211.45,14/05/2026
PO1687,INV5714,431,95.52,23/04/2026
PO1688,INV5715,133,77.63,04/02/2026
PO1689,INV5716,310,112.51,14/05/2026
PO1690,INV5717,155,10.35,06/02/2026
PO1691,INV5718,448,48.16,13/03/2026
PO1692,INV5719,272,8.91,30/04/2026
PO1693,INV5720,341,38.77,19/02/2026
PO1694,INV5721,374,206.34,12/04/2026
PO1695,INV5722,446,73,22/04/2026
PO1696,INV5723,356,106.52,07/04/2026
PO1697,INV5724,13,104.75,18/02/2026
PO1698,INV5725,162,138.46,25/03/2026
PO1699,INV5726,337,68.4,28/03/2026
